-182.495, 61.330, 3.389,  9.338
-182.488, 61.103, 3.412,  9.405
-182.481, 60.875, 3.436,  9.472
-182.474, 60.645, 3.459,  9.539
-182.467, 60.413, 3.482,  9.606
-182.460, 60.180, 3.506,  9.673
-182.453, 59.946, 3.530,  9.740
-182.446, 59.710, 3.554,  9.807
-182.439, 59.472, 3.578,  9.874
-182.433, 59.232, 3.602,  9.941
-182.426, 58.991, 3.626, 10.008
-182.420, 58.749, 3.651, 10.075
-182.413, 58.504, 3.675, 10.142
-182.407, 58.258, 3.700, 10.209
-182.400, 58.011, 3.725, 10.276
-182.394, 57.761, 3.750, 10.343
-182.388, 57.510, 3.776, 10.410
-182.382, 57.257, 3.801, 10.477
-182.376, 57.003, 3.827, 10.544
-182.370, 56.747, 3.853, 10.611
-182.364, 56.489, 3.879, 10.678
-182.358, 56.229, 3.905, 10.745
-182.352, 55.968, 3.931, 10.812
-182.346, 55.705, 3.957, 10.879
-182.340, 55.440, 3.982, 10.946
-182.334, 55.174, 4.008, 11.013
-182.328, 54.905, 4.035, 11.080
-182.323, 54.635, 4.061, 11.147
-182.317, 54.364, 4.087, 11.214
-182.312, 54.090, 4.114, 11.281
-182.306, 53.815, 4.142, 11.348
-182.301, 53.537, 4.169, 11.415
-182.295, 53.258, 4.197, 11.482
-182.290, 52.977, 4.225, 11.549
-182.284, 52.695, 4.253, 11.616
-182.279, 52.410, 4.282, 11.683
-182.274, 52.123, 4.310, 11.750
-182.269, 51.835, 4.339, 11.817
-182.263, 51.544, 4.368, 11.884
-182.258, 51.252, 4.398, 11.951
-182.253, 50.958, 4.427, 12.018
-182.248, 50.661, 4.457, 12.085
-182.243, 50.363, 4.487, 12.152
-182.238, 50.063, 4.517, 12.219
-182.233, 49.760, 4.547, 12.286
-182.228, 49.456, 4.577, 12.353
-182.223, 49.149, 4.608, 12.420
-182.218, 48.841, 4.639, 12.487
-182.213, 48.530, 4.670, 12.554
-182.209, 48.218, 4.701, 12.621
-182.204, 47.903, 4.733, 12.688
-182.199, 47.586, 4.765, 12.755
-182.194, 47.267, 4.797, 12.822
-182.190, 46.946, 4.829, 12.889
-182.185, 46.623, 4.862, 12.956
-182.180, 46.297, 4.895, 13.023
-182.176, 45.970, 4.927, 13.090
-182.171, 45.640, 4.960, 13.157
-182.167, 45.308, 4.994, 13.224
-182.162, 44.974, 5.027, 13.291
-182.158, 44.637, 5.061, 13.358
-182.153, 44.298, 5.095, 13.425
-182.149, 43.958, 5.118, 13.492
-182.145, 43.618, 5.087, 13.559
-182.140, 43.280, 5.065, 13.626
-182.136, 42.943, 5.063, 13.693
